DataFile,method,metric,acceleration
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,pearson,0.001888867
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,pearson,0.016904589
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,pearson,1
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,euclidean,9.329611337
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,euclidean,1574.054072
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,3.738231324
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,358.790887
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,3.738231324
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,358.790887
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,euclidean,1
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,euclidean,10.1345912
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,euclidean,396.389607
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,pearson,7.143020654
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,pearson,1280.743868
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,6.637242064
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,711.8701799
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,6.637242064
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,711.8701799
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,pearson,1
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,pearson,29.9485829
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,pearson,2925.686223
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,euclidean,0.920571057
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,euclidean,155.3150039
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,0.36885862
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,35.40260084
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,0.36885862
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,35.40260084
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,euclidean,0.098671962
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,euclidean,1
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,euclidean,39.11254032
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,pearson,0.238509471
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,pearson,42.76475692
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,0.221621239
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,23.76974504
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,0.221621239
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,23.76974504
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,pearson,0.033390562
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,pearson,1
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,pearson,97.69030585
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,kendall,41.28284524
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,kendall,1
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,kendall,100.0685071
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,euclidean,0.023536468
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,euclidean,3.970977151
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,0.0094307
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,0.905147059
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,0.0094307
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,euclidean,0.905147059
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,euclidean,0.00252277
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,euclidean,0.025567248
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,euclidean,1
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,pearson,0.002441486
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,pearson,0.437758451
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,0.00226861
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,0.243317337
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,0.00226861
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,CPU,pearson,0.243317337
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,pearson,0.0003418
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,pearson,0.01023643
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,GPU,pearson,1
../../DistanceBenchmarking/Real/FibroCardATACSeq/counts.mtx,amap,kendall,0.412545829
